visa_type,country,processing_center,processing_time_days
Business,UK,Beijing,30
Family,UK,Toronto,15
Tourist,China,Tokyo,32
Family,Germany,Delhi,53
Family,Canada,Berlin,48
Work,Brazil,Tokyo,16
Tourist,Australia,Delhi,54
Tourist,UK,London,45
Tourist,Canada,Berlin,48
Family,USA,Beijing,24
Business,China,Tokyo,18
Tourist,UK,Sao Paulo,56
Family,UK,Paris,31
Work,China,Sao Paulo,20
Business,France,Beijing,44
Work,France,London,26
Business,India,Toronto,18
Family,Canada,Berlin,43
Student,USA,Sydney,55
Business,Brazil,Berlin,28
Work,Australia,Toronto,49
Family,UK,New York,39
Business,Brazil,Toronto,31
Student,Brazil,Berlin,35
Student,Japan,Delhi,39
Tourist,Japan,Toronto,21
Tourist,France,Beijing,45
Work,USA,Berlin,16
Business,USA,Sydney,50
Business,USA,Berlin,11
Tourist,Canada,Beijing,30
Business,Brazil,Toronto,36
Business,Japan,Paris,59
Student,Germany,London,10
Tourist,Germany,Beijing,23
Family,UK,Sao Paulo,58
Tourist,UK,Sydney,11
Family,Brazil,Berlin,32
Student,UK,Sao Paulo,35
Work,India,Tokyo,34
Business,France,Toronto,24
Student,USA,London,38
Business,Germany,Toronto,37
Work,Japan,New York,48
Work,USA,Paris,57
Student,India,Beijing,13
Work,Canada,Tokyo,39
Family,Brazil,London,56
Work,Canada,Berlin,19
Business,India,London,51
Business,Japan,Beijing,19
Business,UK,New York,31
Business,USA,Sydney,25
Family,Germany,Toronto,48
Tourist,Canada,Sao Paulo,49
Student,China,Sao Paulo,60
Business,China,Beijing,52
Work,Japan,Beijing,22
Business,Japan,Delhi,48
Work,India,London,39
Work,Brazil,Toronto,22
Business,Germany,New York,51
Family,France,Berlin,35
Work,Canada,London,40
Work,Germany,Paris,48
Business,France,New York,36
Work,France,Paris,13
Work,Japan,Toronto,57
Business,Canada,Tokyo,21
Business,USA,Tokyo,44
Student,Australia,Sydney,48
Family,India,London,10
Family,Brazil,Delhi,25
Work,Australia,Delhi,31
Family,UK,Toronto,54
Work,UK,Sao Paulo,45
Student,Germany,New York,43
Business,China,Sao Paulo,31
Business,Canada,Tokyo,23
Business,Australia,London,12
Family,Brazil,Beijing,47
Student,Australia,Sao Paulo,22
Family,USA,Sao Paulo,11
Family,UK,New York,53
Student,India,New York,49
Student,UK,London,18
Student,France,Sydney,51
Student,China,Berlin,44
Business,USA,Toronto,58
Tourist,China,Paris,51
Tourist,Germany,Delhi,36
Student,Japan,New York,29
Tourist,Canada,Toronto,30
Tourist,Canada,Delhi,15
Student,Canada,Sao Paulo,38
Tourist,Brazil,Berlin,31
Family,Japan,London,44
Work,Germany,Sydney,46
Work,UK,Sao Paulo,32
Student,USA,Berlin,38
Business,Japan,Toronto,49
Student,UK,Berlin,36
Business,France,London,24
Work,China,Paris,44
Student,Canada,Berlin,59
Family,France,Beijing,36
Tourist,Canada,Berlin,21
Business,Brazil,Sao Paulo,55
Tourist,USA,Toronto,50
Tourist,Australia,Sao Paulo,17
Student,Germany,Toronto,60
Tourist,India,London,43
Family,Brazil,Berlin,25
Tourist,Japan,Beijing,45
Student,Australia,Berlin,58
Family,China,Berlin,60
Work,USA,Sao Paulo,59
Tourist,Japan,Beijing,26
Student,Australia,New York,34
Work,Japan,Sydney,55
Work,USA,Sydney,35
Business,Canada,Toronto,56
Family,Australia,Delhi,26
Tourist,Canada,New York,47
Student,Australia,Berlin,47
Business,UK,London,54
Family,Japan,Berlin,21
Business,USA,New York,22
Family,USA,Tokyo,15
Family,Canada,Tokyo,18
Tourist,Brazil,Toronto,55
Family,UK,Toronto,31
Business,USA,Paris,12
Family,Australia,Tokyo,35
Tourist,Australia,Paris,43
Tourist,Germany,Sao Paulo,13
Business,China,Sydney,11
Work,France,New York,45
Work,UK,Sao Paulo,22
Family,Brazil,Sao Paulo,46
Student,India,New York,18
Family,Canada,New York,17
Business,Australia,London,59
Business,UK,Toronto,42
Business,USA,Delhi,39
Business,UK,Tokyo,42
Business,UK,Toronto,26
Tourist,Germany,Berlin,44
Work,India,Toronto,33
Business,China,Sao Paulo,54
Student,UK,London,57
Student,Brazil,London,31
Student,Germany,Beijing,13
Student,India,Sao Paulo,60
Tourist,France,London,18
Student,Brazil,Sao Paulo,12
Business,Germany,Sydney,25
Family,France,Toronto,47
Student,France,Delhi,57
Tourist,Japan,Beijing,16
Tourist,India,Paris,29
Student,Japan,Tokyo,54
Family,India,Sao Paulo,27
Student,UK,Sydney,41
Tourist,Germany,Beijing,20
Work,France,Sao Paulo,39
Business,Canada,New York,33
Tourist,India,Tokyo,36
Student,UK,Paris,40
Business,Germany,Toronto,15
Student,USA,Paris,36
Student,USA,Sydney,24
Work,Japan,Delhi,22
Business,Australia,Paris,16
Business,China,Toronto,48
Work,Brazil,London,41
Tourist,Japan,Delhi,60
Student,Germany,Paris,29
Family,Germany,Sydney,21
Student,France,Berlin,56
Student,UK,London,27
Tourist,USA,Sao Paulo,55
Student,India,Paris,23
Work,USA,London,27
Work,UK,Toronto,30
Business,Canada,Sydney,42
Family,France,Paris,56
Student,UK,Toronto,52
Student,Germany,Delhi,39
Tourist,Canada,Delhi,27
Work,Canada,Sydney,12
Family,France,Sao Paulo,41
Business,Brazil,Sydney,11
Work,Canada,Sao Paulo,20
Business,Brazil,Sao Paulo,11
Tourist,Germany,Berlin,40
Tourist,Brazil,Berlin,44
Student,France,Tokyo,38
Family,France,Sydney,38
